sale_id,product_id,customer_id,timestamp,quantity,price_x,revenue,_revenue,location,gender,signup_date,name,category,supplier,price_y
74,41,489,2022-09-15,4,11883,47532,47532,Port Harcourt,Male,2021-12-22,Product_41,Groceries,Supplier D,11883
75,17,65,2021-03-13,1,11206,11206,11206,Lagos,Male,2021-06-20,Product_17,Electronics,Supplier A,11206
76,76,134,2021-03-15,2,10896,21792,21792,Kano,Male,2020-01-13,Product_76,Electronics,Supplier C,10896
77,46,151,2021-12-21,3,25360,76080,76080,Port Harcourt,Male,2020-01-05,Product_46,Toys,Supplier C,25360
78,32,115,2022-05-12,3,7559,22677,22677,Abuja,Male,2021-12-24,Product_32,Toys,Supplier A,7559
79,79,64,2023-09-15,4,47266,189064,189064,Enugu,Male,2022-03-22,Product_79,Fashion,Supplier C,47266
80,80,343,2022-08-03,3,13761,41283,41283,Lagos,Female,2021-12-09,Product_80,Electronics,Supplier A,13761
81,54,427,2023-06-29,1,22010,22010,22010,Abuja,Male,2020-03-01,Product_54,Home,Supplier A,22010
82,86,363,2022-01-08,1,28587,28587,28587,Port Harcourt,Male,2021-06-09,Product_86,Fashion,Supplier C,28587
83,92,407,2021-12-28,2,49401,98802,98802,Lagos,Female,2020-07-05,Product_92,Groceries,Supplier A,49401
84,20,352,2021-04-03,3,29757,89271,89271,Ibadan,Female,2022-06-23,Product_20,Home,Supplier B,29757
85,33,158,2021-11-20,4,18771,75084,75084,Kano,Female,2020-03-29,Product_33,Electronics,Supplier D,18771
86,74,77,2022-01-19,1,42346,42346,42346,Abuja,Female,2021-08-17,Product_74,Toys,Supplier D,42346
87,40,491,2022-07-29,4,21453,85812,85812,Enugu,Male,2021-05-07,Product_40,Groceries,Supplier B,21453
88,32,146,2023-01-06,1,7559,7559,7559,Lagos,Female,2022-07-06,Product_32,Toys,Supplier A,7559
89,97,343,2023-01-07,1,13357,13357,13357,Lagos,Female,2021-12-09,Product_97,Toys,Supplier D,13357
90,2,463,2021-12-12,2,26623,53246,53246,Port Harcourt,Male,2020-05-16,Product_2,Groceries,Supplier D,26623
91,97,225,2022-12-20,3,13357,40071,40071,Kano,Male,2022-09-30,Product_97,Toys,Supplier D,13357
92,33,405,2023-02-20,2,18771,37542,37542,Port Harcourt,Female,2020-01-11,Product_33,Electronics,Supplier D,18771
93,77,313,2023-10-17,3,17982,53946,53946,Lagos,Male,2020-11-08,Product_77,Home,Supplier B,17982
94,30,103,2022-10-26,4,17161,68644,68644,Lagos,Male,2020-04-27,Product_30,Electronics,Supplier B,17161
95,33,407,2022-08-23,3,18771,56313,56313,Lagos,Female,2020-07-05,Product_33,Electronics,Supplier D,18771
96,77,347,2021-01-11,4,17982,71928,71928,Kano,Male,2021-04-15,Product_77,Home,Supplier B,17982
97,26,301,2021-07-06,1,35650,35650,35650,Enugu,Female,2020-04-23,Product_26,Fashion,Supplier C,35650
98,22,428,2022-12-27,4,42707,170828,170828,Enugu,Male,2022-07-27,Product_22,Toys,Supplier D,42707
99,66,466,2023-11-05,4,13525,54100,54100,Abuja,Male,2022-04-06,Product_66,Fashion,Supplier D,13525
100,38,88,2023-02-17,1,8573,8573,8573,Enugu,Male,2020-12-15,Product_38,Home,Supplier A,8573
101,90,371,2022-02-15,4,16835,67340,67340,Port Harcourt,Male,2020-01-29,Product_90,Home,Supplier D,16835
102,46,303,2023-08-14,4,25360,101440,101440,Kano,Female,2022-04-10,Product_46,Toys,Supplier C,25360
103,15,168,2022-08-08,1,1507,1507,1507,Ibadan,Female,2021-10-26,Product_15,Books,Supplier D,1507
104,98,435,2023-12-12,1,45423,45423,45423,Ibadan,Male,2020-04-11,Product_98,Groceries,Supplier B,45423
105,44,170,2023-11-18,1,24321,24321,24321,Ibadan,Male,2022-10-03,Product_44,Books,Supplier B,24321
106,49,135,2022-07-31,3,25838,77514,77514,Lagos,Female,2020-11-16,Product_49,Groceries,Supplier D,25838
107,75,50,2023-11-07,1,36112,36112,36112,Ibadan,Female,2022-10-27,Product_75,Electronics,Supplier C,36112
108,61,432,2023-09-16,1,29741,29741,29741,Port Harcourt,Male,2020-05-10,Product_61,Toys,Supplier D,29741
109,67,340,2023-01-13,4,36624,146496,146496,Enugu,Female,2020-03-22,Product_67,Electronics,Supplier A,36624
110,6,347,2021-07-23,2,30720,61440,61440,Kano,Male,2021-04-15,Product_6,Toys,Supplier A,30720
111,9,134,2023-12-13,2,35332,70664,70664,Kano,Male,2020-01-13,Product_9,Electronics,Supplier A,35332
112,6,347,2023-09-01,3,30720,92160,92160,Kano,Male,2021-04-15,Product_6,Toys,Supplier A,30720
113,73,137,2023-07-29,3,3842,11526,11526,Abuja,Male,2022-02-23,Product_73,Groceries,Supplier B,3842
114,95,245,2023-12-14,2,6126,12252,12252,Ibadan,Female,2022-08-26,Product_95,Electronics,Supplier C,6126
115,32,109,2023-11-21,2,7559,15118,15118,Lagos,Male,2022-04-26,Product_32,Toys,Supplier A,7559
116,41,313,2023-12-18,1,11883,11883,11883,Lagos,Male,2020-11-08,Product_41,Groceries,Supplier D,11883
117,76,287,2021-04-15,4,10896,43584,43584,Kano,Female,2021-12-23,Product_76,Electronics,Supplier C,10896
118,8,21,2021-09-10,1,1636,1636,1636,Port Harcourt,Male,2022-03-04,Product_8,Books,Supplier C,1636
119,72,90,2021-10-22,3,16922,50766,50766,Port Harcourt,Female,2022-01-28,Product_72,Groceries,Supplier A,16922
120,50,296,2022-10-30,2,22230,44460,44460,Ibadan,Female,2021-08-12,Product_50,Fashion,Supplier D,22230
121,92,112,2022-07-03,3,49401,148203,148203,Lagos,Male,2020-06-21,Product_92,Groceries,Supplier A,49401
122,62,301,2022-09-23,1,31178,31178,31178,Enugu,Female,2020-04-23,Product_62,Fashion,Supplier D,31178
123,84,77,2023-12-27,3,44913,134739,134739,Abuja,Female,2021-08-17,Product_84,Home,Supplier A,44913
124,62,177,2021-10-26,3,31178,93534,93534,Ibadan,Female,2021-01-25,Product_62,Fashion,Supplier D,31178
125,7,343,2021-04-11,4,10382,41528,41528,Lagos,Female,2021-12-09,Product_7,Groceries,Supplier A,10382
126,75,148,2023-12-16,3,36112,108336,108336,Port Harcourt,Male,2020-09-26,Product_75,Electronics,Supplier C,36112
127,84,101,2021-11-28,1,44913,44913,44913,Port Harcourt,Female,2020-01-04,Product_84,Home,Supplier A,44913
128,80,246,2023-04-16,4,13761,55044,55044,Kano,Male,2020-07-20,Product_80,Electronics,Supplier A,13761
129,4,117,2022-01-28,3,10677,32031,32031,Lagos,Male,2021-06-15,Product_4,Electronics,Supplier C,10677
130,6,92,2023-05-24,1,30720,30720,30720,Port Harcourt,Male,2020-08-30,Product_6,Toys,Supplier A,30720
131,58,401,2022-01-16,2,47682,95364,95364,Ibadan,Female,2021-11-23,Product_58,Groceries,Supplier D,47682
132,22,28,2021-04-02,4,42707,170828,170828,Lagos,Female,2020-04-16,Product_22,Toys,Supplier D,42707
133,26,425,2022-03-23,3,35650,106950,106950,Lagos,Female,2020-10-22,Product_26,Fashion,Supplier C,35650
134,3,450,2021-04-19,3,33562,100686,100686,Enugu,Male,2021-12-10,Product_3,Toys,Supplier C,33562
135,41,25,2021-11-13,4,11883,47532,47532,Enugu,Female,2020-08-26,Product_41,Groceries,Supplier D,11883
136,60,58,2022-03-18,1,27582,27582,27582,Ibadan,Female,2021-04-29,Product_60,Groceries,Supplier D,27582
137,14,498,2021-08-06,3,32075,96225,96225,Abuja,Female,2022-01-28,Product_14,Electronics,Supplier C,32075
138,75,297,2022-11-04,1,36112,36112,36112,Enugu,Female,2022-10-06,Product_75,Electronics,Supplier C,36112
139,82,134,2021-10-05,4,12222,48888,48888,Kano,Male,2020-01-13,Product_82,Home,Supplier A,12222
140,12,331,2023-10-06,3,13487,40461,40461,Enugu,Male,2022-04-02,Product_12,Fashion,Supplier B,13487
141,87,249,2022-07-23,2,32847,65694,65694,Kano,Male,2022-07-25,Product_87,Toys,Supplier C,32847
142,12,38,2023-10-07,2,13487,26974,26974,Kano,Male,2021-09-30,Product_12,Fashion,Supplier B,13487
143,13,390,2023-05-25,2,37811,75622,75622,Lagos,Male,2020-09-24,Product_13,Toys,Supplier A,37811
144,25,429,2022-04-11,4,33839,135356,135356,Enugu,Female,2020-02-11,Product_25,Books,Supplier D,33839
145,45,75,2023-04-19,3,38067,114201,114201,Enugu,Male,2021-09-14,Product_45,Toys,Supplier A,38067
146,19,142,2023-01-24,4,44986,179944,179944,Abuja,Female,2020-11-29,Product_19,Electronics,Supplier C,44986
147,55,322,2023-04-18,3,44564,133692,133692,Lagos,Male,2020-04-05,Product_55,Books,Supplier A,44564
148,100,168,2021-01-30,2,11925,23850,23850,Ibadan,Female,2021-10-26,Product_100,Home,Supplier A,11925
149,45,259,2021-12-25,2,38067,76134,76134,Ibadan,Female,2022-07-27,Product_45,Toys,Supplier A,38067
150,8,373,2021-03-27,1,1636,1636,1636,Lagos,Female,2022-03-15,Product_8,Books,Supplier C,1636
151,93,355,2023-01-17,4,34950,139800,139800,Port Harcourt,Male,2022-05-03,Product_93,Groceries,Supplier B,34950
152,53,225,2021-11-09,4,27583,110332,110332,Kano,Male,2022-09-30,Product_53,Books,Supplier C,27583
153,55,152,2021-12-31,1,44564,44564,44564,Port Harcourt,Female,2022-04-30,Product_55,Books,Supplier A,44564
154,32,19,2023-06-24,2,7559,15118,15118,Abuja,Male,2022-12-05,Product_32,Toys,Supplier A,7559
155,51,146,2022-11-29,2,21927,43854,43854,Lagos,Female,2022-07-06,Product_51,Electronics,Supplier B,21927
156,44,448,2021-05-11,4,24321,97284,97284,Ibadan,Female,2021-01-08,Product_44,Books,Supplier B,24321
157,82,241,2023-03-14,3,12222,36666,36666,Enugu,Male,2021-07-20,Product_82,Home,Supplier A,12222
158,70,372,2023-02-28,2,7040,14080,14080,Port Harcourt,Male,2021-09-01,Product_70,Home,Supplier A,7040
159,18,381,2021-12-17,1,48017,48017,48017,Enugu,Female,2022-11-06,Product_18,Toys,Supplier C,48017
160,83,344,2021-06-29,1,22542,22542,22542,Port Harcourt,Male,2022-01-15,Product_83,Fashion,Supplier B,22542
161,22,237,2023-02-13,1,42707,42707,42707,Port Harcourt,Male,2021-02-23,Product_22,Toys,Supplier D,42707
162,37,35,2022-05-25,4,15359,61436,61436,Enugu,Female,2021-09-16,Product_37,Books,Supplier A,15359
163,96,190,2021-12-31,4,7924,31696,31696,Enugu,Male,2021-08-20,Product_96,Books,Supplier B,7924
164,56,1,2023-09-08,4,8313,33252,33252,Ibadan,Male,2020-12-25,Product_56,Groceries,Supplier A,8313
165,59,484,2021-12-19,4,28070,112280,112280,Enugu,Female,2020-12-29,Product_59,Home,Supplier C,28070
166,3,153,2023-03-11,1,33562,33562,33562,Kano,Male,2020-03-18,Product_3,Toys,Supplier C,33562
167,28,429,2022-02-16,1,27160,27160,27160,Enugu,Female,2020-02-11,Product_28,Groceries,Supplier D,27160
168,74,433,2023-01-05,4,42346,169384,169384,Lagos,Male,2020-04-17,Product_74,Toys,Supplier D,42346
169,35,126,2023-09-08,4,7991,31964,31964,Ibadan,Male,2022-04-24,Product_35,Electronics,Supplier A,7991
170,61,491,2021-04-28,1,29741,29741,29741,Enugu,Male,2021-05-07,Product_61,Toys,Supplier D,29741
171,93,482,2022-04-27,4,34950,139800,139800,Kano,Female,2020-07-01,Product_93,Groceries,Supplier B,34950
172,54,345,2021-07-11,4,22010,88040,88040,Ibadan,Male,2022-10-19,Product_54,Home,Supplier A,22010
173,63,400,2022-08-14,4,45069,180276,180276,Port Harcourt,Female,2022-03-29,Product_63,Home,Supplier A,45069
174,79,226,2022-08-13,4,47266,189064,189064,Enugu,Female,2020-12-21,Product_79,Fashion,Supplier C,47266
175,97,221,2022-10-21,2,13357,26714,26714,Enugu,Male,2022-09-11,Product_97,Toys,Supplier D,13357
176,7,403,2021-04-17,4,10382,41528,41528,Lagos,Male,2020-01-29,Product_7,Groceries,Supplier A,10382
177,76,407,2022-01-17,1,10896,10896,10896,Lagos,Female,2020-07-05,Product_76,Electronics,Supplier C,10896
178,49,211,2023-02-22,1,25838,25838,25838,Kano,Female,2021-12-12,Product_49,Groceries,Supplier D,25838
179,94,25,2022-01-25,1,32696,32696,32696,Enugu,Female,2020-08-26,Product_94,Electronics,Supplier C,32696
180,85,16,2021-09-01,1,48351,48351,48351,Ibadan,Male,2020-08-20,Product_85,Fashion,Supplier C,48351
181,31,182,2022-08-08,4,14007,56028,56028,Lagos,Male,2021-02-23,Product_31,Groceries,Supplier B,14007
182,58,499,2023-05-19,2,47682,95364,95364,Port Harcourt,Female,2022-11-28,Product_58,Groceries,Supplier D,47682
183,61,329,2022-04-13,3,29741,89223,89223,Enugu,Female,2022-06-28,Product_61,Toys,Supplier D,29741
184,24,129,2023-05-16,3,1935,5805,5805,Kano,Male,2021-11-20,Product_24,Fashion,Supplier B,1935
185,20,42,2023-07-23,3,29757,89271,89271,Kano,Male,2021-04-18,Product_20,Home,Supplier B,29757
186,37,403,2022-08-27,3,15359,46077,46077,Lagos,Male,2020-01-29,Product_37,Books,Supplier A,15359
187,4,481,2023-10-12,1,10677,10677,10677,Abuja,Male,2022-09-12,Product_4,Electronics,Supplier C,10677
188,92,418,2023-05-10,4,49401,197604,197604,Abuja,Female,2022-08-15,Product_92,Groceries,Supplier A,49401
189,20,336,2021-01-13,4,29757,119028,119028,Kano,Male,2020-05-30,Product_20,Home,Supplier B,29757
190,60,236,2021-10-26,3,27582,82746,82746,Enugu,Female,2022-03-24,Product_60,Groceries,Supplier D,27582
191,24,360,2023-12-11,3,1935,5805,5805,Ibadan,Male,2020-05-07,Product_24,Fashion,Supplier B,1935
192,50,439,2023-02-26,2,22230,44460,44460,Ibadan,Male,2022-12-03,Product_50,Fashion,Supplier D,22230
193,49,402,2021-05-29,2,25838,51676,51676,Abuja,Male,2022-03-04,Product_49,Groceries,Supplier D,25838
194,51,34,2021-05-02,2,21927,43854,43854,Ibadan,Female,2020-01-08,Product_51,Electronics,Supplier B,21927
195,96,345,2022-06-22,1,7924,7924,7924,Ibadan,Male,2022-10-19,Product_96,Books,Supplier B,7924
196,36,381,2022-01-11,4,47795,191180,191180,Enugu,Female,2022-11-06,Product_36,Books,Supplier D,47795
197,98,45,2021-03-23,1,45423,45423,45423,Port Harcourt,Male,2020-12-30,Product_98,Groceries,Supplier B,45423
198,100,134,2022-05-07,1,11925,11925,11925,Kano,Male,2020-01-13,Product_100,Home,Supplier A,11925
199,66,21,2021-12-22,4,13525,54100,54100,Port Harcourt,Male,2022-03-04,Product_66,Fashion,Supplier D,13525
200,79,122,2023-07-14,2,47266,94532,94532,Lagos,Female,2020-03-30,Product_79,Fashion,Supplier C,47266
201,34,70,2023-12-04,4,46039,184156,184156,Enugu,Female,2020-04-18,Product_34,Electronics,Supplier D,46039
202,36,352,2023-10-02,3,47795,143385,143385,Ibadan,Female,2022-06-23,Product_36,Books,Supplier D,47795
203,6,361,2021-05-03,2,30720,61440,61440,Lagos,Female,2022-01-05,Product_6,Toys,Supplier A,30720
204,39,48,2022-12-09,4,9577,38308,38308,Ibadan,Male,2021-11-29,Product_39,Fashion,Supplier A,9577
205,42,491,2021-11-26,1,49646,49646,49646,Enugu,Male,2021-05-07,Product_42,Groceries,Supplier A,49646
206,58,39,2023-09-18,4,47682,190728,190728,Ibadan,Female,2020-02-25,Product_58,Groceries,Supplier D,47682
207,12,287,2021-11-19,2,13487,26974,26974,Kano,Female,2021-12-23,Product_12,Fashion,Supplier B,13487
208,3,490,2023-02-09,3,33562,100686,100686,Lagos,Male,2020-01-16,Product_3,Toys,Supplier C,33562
209,18,10,2022-03-09,1,48017,48017,48017,Port Harcourt,Female,2022-10-25,Product_18,Toys,Supplier C,48017
210,40,30,2022-12-11,3,21453,64359,64359,Kano,Female,2020-02-17,Product_40,Groceries,Supplier B,21453
211,21,244,2023-03-05,3,22236,66708,66708,Lagos,Female,2021-10-22,Product_21,Groceries,Supplier D,22236
212,15,274,2022-12-13,1,1507,1507,1507,Lagos,Male,2022-08-24,Product_15,Books,Supplier D,1507
213,97,444,2022-06-23,4,13357,53428,53428,Kano,Female,2020-01-12,Product_97,Toys,Supplier D,13357
214,99,88,2022-08-24,4,20482,81928,81928,Enugu,Male,2020-12-15,Product_99,Fashion,Supplier B,20482
215,26,244,2021-09-14,3,35650,106950,106950,Lagos,Female,2021-10-22,Product_26,Fashion,Supplier C,35650
216,8,381,2023-05-21,4,1636,6544,6544,Enugu,Female,2022-11-06,Product_8,Books,Supplier C,1636
217,100,329,2023-06-18,2,11925,23850,23850,Enugu,Female,2022-06-28,Product_100,Home,Supplier A,11925
218,94,479,2023-03-20,3,32696,98088,98088,Kano,Female,2022-03-15,Product_94,Electronics,Supplier C,32696
219,87,15,2022-11-08,3,32847,98541,98541,Abuja,Female,2021-10-06,Product_87,Toys,Supplier C,32847
220,42,4,2021-09-28,3,49646,148938,148938,Port Harcourt,Male,2021-10-28,Product_42,Groceries,Supplier A,49646
221,44,191,2022-07-04,2,24321,48642,48642,Kano,Female,2021-05-31,Product_44,Books,Supplier B,24321
222,14,168,2022-07-22,3,32075,96225,96225,Ibadan,Female,2021-10-26,Product_14,Electronics,Supplier C,32075
223,78,9,2023-09-13,4,23911,95644,95644,Kano,Male,2022-12-10,Product_78,Books,Supplier D,23911
224,2,109,2021-12-25,4,26623,106492,106492,Lagos,Male,2022-04-26,Product_2,Groceries,Supplier D,26623
225,37,137,2023-03-09,4,15359,61436,61436,Abuja,Male,2022-02-23,Product_37,Books,Supplier A,15359
226,69,154,2023-06-06,4,24150,96600,96600,Port Harcourt,Male,2021-07-27,Product_69,Fashion,Supplier C,24150
227,38,388,2021-07-30,3,8573,25719,25719,Abuja,Female,2020-06-16,Product_38,Home,Supplier A,8573
228,41,209,2021-10-14,2,11883,23766,23766,Enugu,Male,2022-05-21,Product_41,Groceries,Supplier D,11883
229,62,272,2023-01-13,1,31178,31178,31178,Ibadan,Male,2020-06-04,Product_62,Fashion,Supplier D,31178
230,60,143,2023-11-13,4,27582,110328,110328,Ibadan,Male,2021-01-10,Product_60,Groceries,Supplier D,27582
231,14,99,2021-10-23,1,32075,32075,32075,Lagos,Female,2021-04-12,Product_14,Electronics,Supplier C,32075
232,89,377,2021-01-06,1,39714,39714,39714,Abuja,Male,2020-02-11,Product_89,Home,Supplier B,39714
233,84,308,2022-07-04,3,44913,134739,134739,Abuja,Female,2020-06-10,Product_84,Home,Supplier A,44913
234,2,69,2022-11-12,4,26623,106492,106492,Abuja,Female,2020-08-20,Product_2,Groceries,Supplier D,26623
235,70,247,2023-03-06,4,7040,28160,28160,Enugu,Male,2020-11-08,Product_70,Home,Supplier A,7040
236,17,261,2021-07-22,4,11206,44824,44824,Lagos,Male,2022-05-25,Product_17,Electronics,Supplier A,11206
237,89,276,2021-11-21,1,39714,39714,39714,Ibadan,Male,2021-11-19,Product_89,Home,Supplier B,39714
238,28,79,2023-04-05,4,27160,108640,108640,Ibadan,Male,2021-09-04,Product_28,Groceries,Supplier D,27160
239,66,146,2021-09-01,4,13525,54100,54100,Lagos,Female,2022-07-06,Product_66,Fashion,Supplier D,13525
240,35,111,2021-11-23,2,7991,15982,15982,Kano,Male,2022-11-15,Product_35,Electronics,Supplier A,7991
